id,name,nutriscore,energy,fat_g,sugar_g,sodium_mg,perc_fruit,fibers_g,proteins_g,nutriscore,G_0,PMS_0.5,PMS_0.6,PMS_0.7,OMS_0.5,OMS_0.6,OMS_0.7,Decision Tree,kNN,Random Forest
3.16893E+12,Cruesli Mélange De Noix,a,1933.008,19,12,0,0,10,8.5,a,b,a,b,c,a,c,d, c, e, a
80135463,,e,2255.176,30.9,56.3,42.8,0,0,6.3,e,e,e,e,e,e,e,e, e, e, e
20267605,Anacardi,b,2510.4,47.6,6.5,8,0,5.2,20.5,b,b,a,a,d,a,b,e, b, b, d
5.41119E+12,Almonddrink,b,54.392,1.1,0,56,0,0.3,0.4,b,c,e,e,e,e,e,e, b, b, b
3.16893E+12,Flocons d'avoine complète,a,1569,8,1.1,4,0,9,11,a,b,a,a,c,a,a,d, a, a, a
3.15947E+12,Corn flakes,b,1581.552,0.9,8,440,0,3,7,b,b,c,c,c,d,d,d, b, b, b
8.0768E+12,Spaghetti n.5,a,1502.056,2,3.5,4,0,3,13,a,b,b,c,c,c,d,d, a, a, a
20047238,Alesto mixed nuts (walnuts,,,,,,,,,a,b,a,a,e,a,a,e, c, b, b
5.01003E+12,Weetabix,a,1514.608,2,4.2,112,0,10,12,a,b,a,a,b,a,b,c, a, a, a
5.41119E+12,,b,108.784,1.1,3.1,56,0,0.3,0.4,b,c,e,e,e,e,e,e, b, b, b
3.22982E+12,Amande sans sucre,b,104.6,1.7,0.5,20,0,0.5,0.7,b,c,e,e,e,e,e,e, b, b, b
7.39438E+12,Hafer Barista Edition,b,246.856,3,3.4,40,0,0.8,1.1,b,c,e,e,e,e,e,e, b, b, b
5.41119E+12,No sugars oat,a,167.36,1.5,0,36,0,1.2,0.2,a,c,e,e,e,e,e,e, a, a, a
5.01003E+12,Crispy minis,a,1615.024,5.1,17,64,0,10,10,a,b,a,b,c,a,c,d, a, a, a
80042556,Tomaten Fruchtfleisch,a,108.784,0.2,2.8,120,0,0,1.2,a,c,e,e,e,e,e,e, a, b, b
5.06004E+12,Lightly sea salted crisps,b,1991.584,27,0.64,336,0,5.5,6.2,b,c,b,b,c,c,c,d, b, b, c
80176800,Nutella,e,2230.072,30.9,56.3,44,0,3,6.3,e,d,c,d,e,d,e,e, e, e, e
5.41119E+12,Oat,a,184.096,1.4,2.6,40,0,1.9,0.4,a,c,d,d,e,e,e,e, b, a, a
5.05399E+12,Sour Cream & Onion,d,2242.624,32,2.4,560,0,2.9,4.6,d,c,c,d,d,d,e,e, d, d, d
5.05383E+12,Smacks,c,1577.368,1.6,34,8,0,5,7.1,c,b,b,b,c,c,c,d, b, a, c
5.00016E+12,Heinz Beanz In a rich tomato sauce,a,338.904,0.4,4.3,240,34,3.9,4.8,a,b,b,b,c,c,c,d, a, a, a
5.41119E+12,Kokosnuss ohne Zucker,b,58.576,1.2,0,28,0,0,0.1,b,c,e,e,e,e,e,e, b, b, b
5.01003E+12,Weetabix Original,a,1514.608,2,4.2,112,0,10,12,a,b,a,a,b,a,b,c, a, a, a
8.41008E+12,Riegel Oats & Honey,c,1953.928,18.1,26.8,340,0,6.4,8.7,c,c,b,c,c,c,d,d, c, b, c
7.3004E+12,Original,a,1397.456,1.5,1,400,0,19,9,a,b,a,a,c,a,b,d, a, a, a
5.01003E+12,Swiss Style Muesli No Added Sugar,a,1543.896,5.8,16,112,15,8.3,12,a,b,a,b,c,b,c,d, a, a, a
20101268,Nougat Bits / Choco Hazelnut Pillows,c,1861.88,15.4,28.5,160,0,4.8,7.2,c,c,b,c,d,c,d,e, c, a, c
5.41119E+12,Plant protein chocolate flavour,a,288.696,2.8,5,64,0,1.3,5,a,c,c,c,e,d,d,e, a, a, a
8.0087E+12,Seeded Loaf (Bread),b,1041.816,6.6,4.1,388,0,9.9,4.5,b,c,c,c,c,d,d,d, a, a, b
8.0087E+12,Maestro classic,a,974.872,3.4,3.3,396,0,8.1,3.5,a,b,b,c,d,c,d,e, a, a, a
7.39438E+12,Hafer Haver Calcium,b,188.28,1.5,4,40,0,0.8,1,b,c,e,e,e,e,e,e, b, a, b
5.70198E+12,,d,2782.36,75,0.5,360,0,0,0.5,d,e,e,e,e,e,e,e, d, b, c
20004132,Tomaten gehackt,c,108.784,0.2,2.7,520,0,0,1.3,c,c,e,e,e,e,e,e, c, a, c
4.00041E+12,Vegane Mühlen Schnitzel,a,849.352,10,0.6,640,0,6.4,14,a,c,a,b,d,a,c,e, a, a, a
5.01003E+12,Weetabix,a,1514.608,2,4.4,112,0,10,12,a,b,a,a,b,a,b,c, a, a, a
4.00041E+12,,a,849.352,10,0.6,640,0,6.4,14,a,c,a,b,d,a,c,e, a, a, a
80042532,Double Concentrate Tomato Purée,a,401.664,0.2,14,200,0,0,4.2,a,c,c,c,e,d,d,e, a, a, a
5.41119E+12,Plant Protein,a,238.488,2.8,2.5,40,0,0.9,5,a,c,c,c,e,d,d,e, a, b, a
8.7157E+12,Baked Beans,a,326.352,0.2,4.7,240,0,3.9,4.7,a,b,b,b,c,c,c,d, a, a, a
5.20239E+12,Greek white,e,1276.12,29,0,680,0,0,0,e,e,e,e,e,e,e,e, d, c, e
5.01003E+12,Oatibix,,,,,,,,,a,b,a,a,c,a,a,d, a, a, a
5.05383E+12,Céréales Corn Flakes Kellogg's Original,b,1581.552,0.9,8,448,0,3,7,b,b,c,c,c,d,d,d, c, b, b
7.39438E+12,Oat drink barista edition,b,246.856,3,4,40,0,0.8,1,b,c,e,e,e,e,e,e, b, b, b
3.25039E+12,Flocons d'avoine,a,1527.16,6.8,1.1,8,0,11.4,12.1,a,b,a,a,c,a,a,d, a, a, a
5.06004E+12,Chips sel de mer et poivre noir,c,2075.264,27.2,1.4,520,0,5,6.8,c,c,b,c,d,c,d,e, b, d, c
4.00042E+12,Schokolade Marzipan,e,2075.264,27,51,4,0,0,7,e,d,e,e,e,e,e,e, e, e, e
20443375,Gemüse Oliven,,,,,,,,,d,e,e,e,e,e,e,e, d, c, c
5.41119E+12,Simply plain - soya yogurt,a,213.384,2.3,2.1,100,0,1,4,a,c,d,d,e,e,e,e, a, b, a
5.06004E+12,sea salt & cider vinegar chips,c,1928.824,25,1.8,800,0,5.2,5.7,c,c,b,c,e,c,d,e, c, c, c
8.00125E+12,Fusilli n°34,a,1468.584,1.5,3.4,0,0,2.9,14,a,b,a,c,c,b,d,d, a, a, a
8.4126E+12,Pan de molde grande,a,1054.368,2.7,3.8,440,0,4.7,9.8,a,b,a,b,b,b,c,c, c, a, a
8.41008E+12,Protein Peanut & Chocolate Cereal Bar,d,2104.552,30.1,16.3,360,0,13.8,25.7,d,c,b,c,d,c,d,e, d, b, d
20006105,Pan de centeno integral,c,1569,3.21,6.96,714,0,16.6,10.4,c,b,a,b,c,b,c,d, b, c, a
20753030,Banane,a,378.652,0.5,15.6,13,0,2.7,1.06,a,c,c,c,e,d,d,e, a, a, a
5.41119E+12,Barista Mandel,b,104.6,1.2,2.5,32,0,0.2,0.5,b,c,e,e,e,e,e,e, b, b, b
5.41119E+12,Soya Original,a,163.176,1.8,2.5,36,0,0.5,3,a,c,d,d,e,e,e,e, a, a, a
20033347,Olives vertes,c,715.464,18,0,1160,0,2.3,1,c,e,e,e,e,e,e,e, c, c, c
5.05383E+12,Kellogg's Corn Flakes,c,1581.552,0.9,8,452,0,3,7,c,b,c,c,c,d,d,d, c, b, c
8.00125E+12,Linguine n° 7,a,1468.584,1.5,3.4,0,0,2.9,14,a,b,a,c,c,b,d,d, a, a, a
8.71133E+12,Cookies on Cookie Dough Non-Dairy Ice Cream,d,962.32,12,18,56,0,0.96,1.7,d,d,e,e,e,e,e,e, d, a, b
7.61303E+12,Dolce Gusto Café au Lait,e,1673.6,20,29.1,412,0,8.2,21.2,e,c,c,c,d,d,d,e, e, b, c
5.00011E+12,Quaker Rolled Oats,a,1564.816,8,1.1,0,0,9,11,a,b,a,a,c,a,a,d, a, a, a
20534479,Soft Datteln entsteint,c,1192.44,0.3,57,12,0,6.9,2.2,c,c,b,e,e,c,e,e, b, a, a
5.06009E+12,Granola low sugar,b,2096.184,27.1,3.8,8,0,9.7,14.2,b,b,a,a,d,a,a,e, b, e, d
8.80104E+12,Shin Kimchi Ramyun,e,1786.568,13,4.9,1800,0,0,9.6,e,d,e,e,e,e,e,e, e, d, e
4.05649E+12,Kokosraspel,c,2794.912,65.2,6.6,20,100,14.8,7.4,c,a,a,a,a,a,b,b, c, b, b
7.39438E+12,Oat Drink,b,192.464,1.5,4.1,40,0,0.8,1,b,c,e,e,e,e,e,e, b, a, b
8.71243E+12,Demae Ramen Poulet Sachet,e,380.744,4,0.4,440,0,0,2,e,c,e,e,e,e,e,e, e, a, e
5.06004E+12,Sweet Chilli & Red Pepper,c,1958.112,25,5.1,440,0,5.4,6.3,c,c,b,c,c,c,d,d, c, c, c
20003463,Spaghetti,a,1464.4,1.2,3.2,0,0,3.5,12.5,a,b,a,b,b,b,c,c, a, a, a
8.0087E+12,Fette crocantinis schar,c,1589.92,1.7,6,560,0,2.3,6,c,c,c,d,d,d,e,e, c, c, c
20067274,Choco Shells,b,1585.736,2.1,23.9,148,0,6,10.7,b,b,a,b,c,b,c,d, b, a, b
4.0081E+12,,b,92.048,0.5,1.7,440,0,0,1.5,b,c,e,e,e,e,e,e, b, a, b
5.01003E+12,Oatibix Avena Flakes,b,1694.52,8.6,14,112,0,8,11,b,b,a,b,c,b,c,d, b, a, b
3.27323E+12,Organic So Soja! Natural,a,192.464,2.1,0,40,0,0,4.8,a,c,c,c,e,d,d,e, a, a, a
5.41119E+12,Soya Unsweetened Organic (Red),a,146.44,2.1,0,16,0,0.6,3.7,a,c,d,d,e,e,e,e, a, a, a
10100295,Weetabix,a,1514.608,2,4.2,112,0,10,12,a,b,a,a,b,a,b,c, a, a, a
5.41119E+12,Devilishly dark chocolate plant-based dessert,a,397.48,2.3,11.8,52,0,1.4,3.1,a,c,d,d,e,e,e,e, a, a, a
20115685,chapelure,b,1493.688,1.6,4.4,600,0,5.2,13,b,b,a,a,c,a,b,d, b, c, b
5.02036E+12,Bakery Co. 5 The Original Bagels,a,1079.472,1.2,5.6,308,0,3.1,10.1,a,b,b,b,c,c,c,d, a, a, a
5.20239E+12,Violife 100% vegan original flavour slices,e,1192.44,23,0,920,0,0,0,e,e,e,e,e,e,e,e, d, c, e
7.61303E+12,Cheerios Multi,b,1581.552,4.8,17.7,320,0,9.6,9.9,b,b,b,b,c,c,c,d, b, a, b
5.41251E+12,Wraps,d,1389.088,18,1.3,520,0,0,9.3,d,c,c,e,e,d,e,e, d, b, d
4.05649E+12,Olivenöl,c,3447.616,91.6,0,0,0,0,0,c,d,e,e,e,e,e,e, c, b, c
3.07378E+12,Le Cœur Fleuri Végétal,e,1196.624,22,3,640,0,0,1,e,e,e,e,e,e,e,e, e, b, c
5.41119E+12,Almond Unsweetened,b,54.392,1.1,0,52,0,0.4,0.4,b,c,e,e,e,e,e,e, b, b, b
20118174,Mandeloliven,c,589.944,13,0,1044,0,0,1.2,c,e,e,e,e,e,e,e, c, c, c
5.00037E+12,Dairy Free Spread,d,2108.736,56,0,600,0,0,0,d,e,e,e,e,e,e,e, d, d, e
5.05399E+12,Pringles Smokey Bacon Flavour,d,2171.496,29,3,640,0,3.6,6.6,d,c,b,d,d,c,e,e, e, d, c
20054830,Riz arborio,b,1481.136,0.4,0.2,4,0,0,6.7,b,b,b,c,e,c,d,e, b, a, b
20487942,Sun-dried Tomatoes,e,577.392,0.7,17,2640,0,6,7,e,c,b,b,b,c,c,c, e, c, c
5.738E+12,,d,2012.504,22,19,320,0,5.7,8,d,c,b,c,d,c,d,e, d, b, d
20293604,Olivenöl,c,3447.616,91.6,0,0,0,0,0,c,d,e,e,e,e,e,e, c, b, c
5.01004E+12,Crumpets,c,736.384,0.8,2,592,0,1.9,6,c,c,b,d,d,c,e,e, c, a, c
4.05649E+12,Artesanas con pipas,,,,,,,,,d,c,b,d,e,c,e,e, d, d, d
4.05649E+12,Oat unsweetened,b,163.176,1.1,3.1,44,0,0.5,0.3,b,c,e,e,e,e,e,e, b, a, b
20199876,Sun-dried Tomatoes,c,681.992,11.9,6.4,1088,0,23,3,c,d,d,d,e,e,e,e, c, c, c
20809676,Schwäbische Spätzle,b,635.968,3.4,0.8,400,0,0,6.4,b,c,b,c,e,c,d,e, b, b, b
5.00016E+12,Beanz in a rich tomato sauce ORGANIC,a,343.088,0.2,5.4,240,0,3.8,4.9,a,b,b,b,c,c,c,d, a, a, a
5.01367E+12,Organic Slightly Salted Wholgrain Rice Cakes,a,1648.496,2.7,0.5,120,0,3.1,8.5,a,b,b,c,c,c,d,d, a, a, a
5.0138E+12,Eat Natural Almond & Apricot Bars,d,1991.584,26.6,31.2,24,0,4.6,6.6,d,c,b,c,d,c,d,e, d, e, c
5.41119E+12,Almond dark chocolate drink,b,196.648,1.3,6.9,56,0,0.8,0.8,b,c,e,e,e,e,e,e, b, b, b
5.41119E+12,Caffè soya caramel blend,d,146.44,0.8,4.9,56,0,1.3,1.5,d,c,e,e,e,e,e,e, d, a, a
4.05649E+12,Vegan spread French style,b,569.024,9,0.5,440,0,0,8.5,b,c,c,e,e,d,e,e, b, b, b
7.39438E+12,The Original Organic Oat Drink,b,154.808,0.5,4.1,40,0,0.8,1,b,c,e,e,e,e,e,e, b, a, b
5.03447E+12,Tofoo Naked,a,514.632,6.9,0.7,40,0,0.9,12.6,a,c,a,d,e,b,e,e, a, a, a
5.01836E+12,Simply nutty muesli,a,1573.184,6.8,14.2,12,0,8.6,9.9,a,b,a,b,c,a,c,d, a, a, a
1.70488E+12,Vegetable balls,c,711.28,8.6,2.5,640,0,0,7.7,c,d,d,e,e,e,e,e, c, a, c
3.52413E+12,Olives aux Herbes,c,1158.968,28,0.5,1480,0,3.8,1.3,c,d,e,e,e,e,e,e, d, c, c
5.0195E+12,Mince,a,439.32,2,0.6,120,0,5.5,14.5,a,b,a,a,a,a,b,b, a, a, a
50160884,Vegan Bouillon powder,e,1008.344,8.4,3.9,17520,0,0,9.6,e,d,e,e,e,e,e,e, e, e, e
5.05008E+12,All-Bran Golden Crunch,c,1702.888,11,21,332,0,13,7.6,c,c,b,c,c,c,d,d, c, b, b
5.06004E+12,Lightly Sea Salted,b,2096.184,24.4,2,200,0,5.3,5.9,b,c,b,b,d,c,c,e, b, b, c
51000005,Cheese & Onion Flavour Potato Crisps,c,2150.576,29,2.6,480,0,3.8,6.3,c,c,b,c,d,c,d,e, d, d, c
7.39438E+12,Oatly drink whole fridge version,b,238.488,2.8,4.1,40,0,0.8,1,b,c,e,e,e,e,e,e, b, b, b
20622701,Medaglioni Basilic,,,,,,,,,c,c,c,e,e,d,e,e, c, a, c
5.0195E+12,Totally Vegan Smoky Ham Free Slices,a,422.584,2.5,0.3,680,0,8.5,13.5,a,b,a,a,b,a,b,c, a, a, a
5.03447E+12,Smoked Tofu,a,615.048,7.6,0.533,123,0,0.667,15.2,a,c,a,d,e,b,e,e, a, a, a
5.06012E+12,Organic Oat Drink,b,217.568,1.8,4.3,36,0,0.5,1.6,b,c,e,e,e,e,e,e, b, b, b
9.35204E+12,Vegemite,c,728.016,0.9,2.4,3356,0,8.4,25.9,c,b,a,a,b,a,a,c, c, c, c
5.06041E+12,Oat M*lk,b,200.832,2.1,4.5,40,0,0,0.2,b,c,e,e,e,e,e,e, b, b, b
5.06037E+12,Crunchy peanut butter,b,2535.504,48.4,5.7,140,99.5,8.8,26.3,b,b,a,a,a,a,a,b, b, b, b
5.41119E+12,Oat No Sugars,a,167.36,1.5,0,36,0,1.2,0.2,a,c,e,e,e,e,e,e, a, a, a
5.01836E+12,Simply Delicious Muesli,a,1539.712,7.3,14.7,10,0,9,9.6,a,b,a,b,c,a,c,d, a, a, a
5.71195E+12,Nordic Oat Drink,b,205.016,1.5,3.3,68,0,0,1.2,b,c,e,e,e,e,e,e, b, b, b
5.05399E+12,SIZZL‘N SPICY SPICY BBQ FLAVOUR,e,2175.68,29,4.4,0,0,0,5.2,e,c,d,e,e,e,e,e, e, e, c
5.06013E+12,Peanut butter Crunchy,d,2493.664,46,5.9,0,0,8.5,30,d,b,a,a,d,a,b,e, b, b, b
7.61329E+12,Shreddies,a,1522.976,1.8,12.5,288,0,12,10.8,a,b,a,b,b,b,c,c, a, a, a
20475598,Ceci - Chickpeas in Water,a,531.368,2.7,0.5,10,0,5.1,6.7,a,b,a,b,b,b,c,c, a, a, a
41005514,Whole Grain Rye Bread,a,840.984,1,2.2,460,0,7.7,5.2,a,b,b,c,c,c,d,d, c, b, a
5.01004E+12,Wholemeal Medium Sliced,a,974.872,2.8,2.4,380,0,6.4,10.6,a,b,a,b,b,a,c,c, a, a, a
5.01027E+12,Dark Rye Crunchy Rye Breads,a,1430.928,1.200000048,3,296.0000038,0,15.2,8.5,a,b,a,a,b,a,b,c, a, a, a
5.01367E+12,Crunchy Peanut Butter,c,2690.312,54.3,3.8,440,0,6.7,27.7,c,c,a,c,e,a,d,e, c, b, c
5.01401E+12,Vegetarian Mozzarella 1/4 LB Burgers,c,1054.368,14.7,0.9,560,0,5,19.8,c,c,a,b,d,a,c,e, c, a, b
5.01421E+12,Meridian Crunchy Peanut Butter,b,2493.664,46,5.9,0,0,8.5,29.6,b,b,a,a,d,a,b,e, b, b, b
5.01421E+12,Crunchy peanut butter,b,2493.664,46,5.9,0,100,8.5,30,b,a,a,a,a,a,a,a, b, b, b
5.0195E+12,Quorn Pieces,a,414.216,2.6,0.6,320,0,7.1,13.8,a,b,a,a,b,a,b,c, a, a, a
5.06036E+12,Organic & unsweetened Almond,b,121.336,2.5,0,40,0,0.5,1,b,c,e,e,e,e,e,e, b, b, b
8.0087E+12,Gluten Free Brown Ciabatta Rolls,a,1192.44,9.4,4.6,368,0,9.6,6.8,a,c,b,b,c,c,c,d, a, a, b
9.32297E+12,Corn Thins Original,a,1599.999953,3.333333333,0.388888889,261.1111111,0,7.222222222,10,a,b,a,b,b,a,c,c, a, a, a
4.0886E+12,Unsweetened UHT Soya Drink,a,158.992,2.1,0,32,0,0,3.6,a,c,d,d,e,e,e,e, a, a, a
7.39438E+12,The Original Oat Drink Semi,b,192.464,1.5,4.1,40,0,0.8,1,b,c,e,e,e,e,e,e, b, a, b
5.94145E+12,Salt Chips,d,2263.544,35,0.6,600,0,0,5.4,d,d,d,e,e,e,e,e, d, d, d
5.0602E+12,Crosta & Mollica Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil,d,1313.776,10.5,1.1,600,0,0,7.9,d,d,d,e,e,e,e,e, d, c, d
5.01003E+12,Muesli,a,1543.896,5.8,16,112,0,8.3,12,a,b,a,b,c,b,c,d, a, a, a
4.05649E+12,Hamburger Brötchen Classic,b,1171.52,5.5,6.1,480,0,3.5,9.7,b,c,b,b,c,c,c,d, c, c, a
7.61329E+12,Cheerios Multigrain,b,1603.866667,5,17.66666667,333.3333333,0,9,9.333333333,b,b,b,b,c,c,c,d, b, b, b
4.05649E+12,Simply porridge oats,a,1535.528,8.4,1,8,0,9.1,12.1,a,b,a,a,c,a,a,d, a, a, a
20060831,Crownfield Premium Fruit and Nut Muesli,c,1648.496,12,25.4,24,0,7.9,8.5,c,c,a,c,c,a,d,d, c, a, c
5.00018E+12,Marmite Yeast Extract,c,1087.84,0.5,1.2,4320,0,3.5,34,c,b,b,b,b,c,c,c, a, c, c
5.01368E+12,Lincolnshire sausages,b,748.936,11,0.1,380,0,1.2,15,b,c,c,e,e,d,e,e, b, b, b
5.01421E+12,Smooth peanut butter,b,2493.664,46,5.9,0,0,8.5,30,b,b,a,a,d,a,b,e, b, b, b
5.01837E+12,Baked Beans In Tomato Sauce,a,364.008,0.6,4.7,200,0,3.7,4.5,a,b,b,b,c,c,c,d, a, a, a
5.02649E+12,Quinoa Chips,c,2004.136,21.5,2.8,556,0,3.2,8.8,c,c,c,c,d,d,d,e, c, c, d
5.05097E+12,Pumpkin Seed & Oat Crispbread,a,1548.08,6.6,2.7,180,0,16.8,13.5,a,b,a,b,c,a,c,d, a, a, a
5.41119E+12,Soya Original Drink,a,163.176,1.8,2.5,32,0,0.5,3,a,c,d,d,e,e,e,e, a, a, a
5.41119E+12,Organic Soya Unsweetened U.H.T.,a,133.888,1.9,0,12,0,0.6,3.3,a,c,d,d,e,e,e,e, a, a, a
7.61303E+12,SHREDDED WHEAT,a,1506.24,2.2,0.7,20,0,12.2,12.2,a,b,a,a,b,a,a,c, a, a, a
4.26033E+12,Fine hazelnut chocolate spread,d,2355.592,36,47,0,0,5.5,6.1,d,c,b,d,e,c,e,e, d, d, d
8.71869E+12,What The Cluck Vegan Chicken Style Chunks,a,594.128,3.6,0.5,440,0,6.2,21,a,b,a,a,b,a,b,c, a, b, a
5.00016E+12,Beanz No added sugar,a,271.96,0.2,1.9,160,0,3.6,4.6,a,b,b,b,c,c,c,d, a, a, a
5.06041E+12,Minor Figures Barista Oat organic,b,184.096,1.8,2.5,40,0,0,0.2,b,c,e,e,e,e,e,e, b, a, b
4.0886E+12,Oat,b,200.832,1.5,3.8,36,0,0.7,0.5,b,c,e,e,e,e,e,e, b, b, b
4.05649E+12,Kimchi,c,150.624,0.4,0.3,764,0,0,1.1,c,d,e,e,e,e,e,e, c, c, c
5.05775E+12,Tesco Oat Drink,b,196.648,1.5,4.2,40,0,0.7,0.5,b,c,e,e,e,e,e,e, b, b, b
5.07E+12,Gut-loving granola,a,1870.248,17.9,7.9,24,0,17,13.2,a,b,a,a,c,a,b,d, a, e, a
5.01003E+12,Riz Basmati,b,606.68,1.6,0.5,4,0,0.5,3.1,b,c,d,d,e,e,e,e, b, a, b
20009847,Baked beans,a,347.272,0.6,5,340,0,0,4.1,a,c,c,c,e,d,d,e, c, a, a
20239305,Mixed seedless grapes,b,251.04,0.5,15,4,0,0.7,0.5,b,c,e,e,e,e,e,e, e, b, b
5.00013E+12,Crunchy Nut Corn Flakes Cereal,d,1665.232,4.5,35,300,0,2.5,6,d,c,c,c,c,d,d,d, b, b, b
5.00013E+12,Special K The Original,c,1569,1.5,15,400,0,4.5,9,c,b,a,b,c,b,c,d, a, b, b
5.00033E+12,Ready Salted Crisps,c,2192.416,31.9,0.4,560,0,4.3,6.1,c,c,b,d,d,c,e,e, d, d, d
5.01148E+12,Cheerios,b,1606.656,5,17.6,332,0,8.9,9.2,b,b,b,b,c,c,c,d, b, b, b
5.0195E+12,Vegan Chicken Free Slices,a,393.296,2.3,0.5,520,0,6.2,11,a,b,a,a,b,a,b,c, a, a, a
8.71469E+12,Falafels De Patates Douces BIO,b,711.28,9.7,4,320,0,0,6,b,d,b,e,e,c,e,e, c, b, c
3.03371E+12,Nescafé classic,e,4.184,0,0,0,0,0,0.2,e,c,e,e,e,e,e,e, e, b, e
336789,Spinach Ricotta Tortelloni,b,673.624,3.3,1.4,140,0,1.7,6.3,b,c,b,b,d,c,c,e, b, a, a
5.05383E+12,Trésor Kellogg's Choco Roulette offre spéciale,e,1874.432,0,0,0,0,0,0,e,c,e,e,e,e,e,e, e, e, e
5.05932E+12,Special k Red berries,b,1631.76,1.4,16,292,0,6.6,8,b,b,a,b,b,b,c,c, a, a, b
4.05649E+12,Vegan spread mexican style,b,736.384,13,0.7,520,0,2.3,7,b,c,c,d,d,d,e,e, b, b, b
5.00017E+12,Houmous,c,1188.256,22.7,0.7,320,0,0,6.3,c,d,b,e,e,c,e,e, d, a, c
5.01367E+12,Organic Vegetable Stock Cubes,e,29.288,0.4,0.3,360,0,0,0,e,c,e,e,e,e,e,e, e, b, b
5.06009E+12,NAKD Noix de Cajou - 140g (4x1p),c,1715.44,23.4,39.2,40,100,4.7,10,c,b,a,a,a,a,b,b, c, a, b
8.00511E+12,Tomatenfruchtfleisch mit Basilikum,b,108.784,0.2,2.8,120,0,0,1.2,b,c,e,e,e,e,e,e, a, b, b
5.05383E+12,Bran Flakes,a,1497.872,2.2,14,264,0,17,11,a,b,b,b,b,c,c,c, a, a, a
5.00012E+12,Wheat biscuits,a,1497.872,2,4.4,112,0,10,12,a,b,a,a,b,a,b,c, a, a, a
4.05649E+12,Tofu basil,b,523,7.5,0.5,400,0,0,12,b,c,c,d,e,d,e,e, b, a, a
85696608044,Silken tofu firm,a,234.304,2.6,0.6,28,0,0,7.1,a,c,b,b,e,c,c,e, a, b, a
20245726,Pommes Rouges,a,213.384,0.5,11.6,4,0,1.2,0.6,a,c,e,e,e,e,e,e, a, a, a
20809669,Schupfnudeln svana,b,769.856,2,6,384,0,3.2,6,b,b,b,c,c,c,d,d, a, b, a
5.20239E+12,Prosociano Bloc,e,1167.336,17,0.3,1400,0,0,1.6,e,e,e,e,e,e,e,e, d, c, e
8.71469E+12,Bio Houmous,b,866.088,14.9,0.5,360,0,0,7.6,b,c,c,e,e,d,e,e, b, b, b
8714685902086;Bio Houmous;b;207;0.149;0.005;360.0;0;0;0.076,,,,,,,,,,,,,,,,,,,,
